,name
289,Dan Lewis
290,Matt Erickson
291,Bernice Kiyo Glenn
292,Brent Sherwood
293,Alexander V. Vladimirov
294,Matthew Schaefer
295,J. David Grossman
296,Craig Miller
297,a.i. solutions
298,Tony Samp
299,Austin Link
300,Christopher Stone
301,Michael J. Listner
302,Carlos A Rios
303,Mark Sundahl
304,James E. Dunstan
305,Philip Bracken
306,Kim Crider
307,Harriet Brettle
308,Paul Meyer
309,Marco Borghi
310,Alexis Conte
311,Alexander Urquhart
312,Thomas d’Halluin
313,Claude Rousseau
314,Dava Newman
315,Ruth Stilwell
316,Jonathan Murphy
317,Gabor Szecsi
318,Max Provencher
319,U.S. Sen. Jerry Moran
320,Steven Collicott 
321,"Milton ""Skip"" Smith"
322,Eric Berger
323,Sen. Roger Wicker
324,J. Brant Arseneau
325,Lt. Col. Brad Townsend
326,Wilbur Ross
327,Antonino Salmeri
328,The Secure World Foundation staff
329,Gabriel Mounce
330,Gregory Falco
331,Elliot Carol
332,Brien Flewelling
333,Thomas Zelibor
334,Eric Fanning
335,Stan Shull
336,U.S. Sen. Cory Gardner
337,Gary Oleson
338,Daniel N. Baker
339,John “J.R.” Riordan
340,Richard Upchurch
341,Ben Poole
342,Space & Satellite Professionals International
343,Antony Phillipson
344,Derek Tournear
345,John Klein
346,Vaughn Standley
347,Justin Cadman
348,Mikhail Grinberg
349,Mark Dankberg
350,Tommaso Sgobba
351,Jan Woerner
352,Rabi Boundi
353,Nicholas Nelson
354,Thomas “Tav” Taverney
355,Maj. Ryan Stephenson
356,Philip Handleman
357,Inga Popovaite
358,Ben Lamm
359,Edward Morris
360,Jack O’Connor
361,Commercial Spaceflight Federation
362,Richard Parker
363,Maj. Gen. John Shaw
364,Skot Butler
365,Martin Coleman
366,Ryan Walters
367,Ajey Lele
368,Luca Rossettini
369,U.S. Rep. Brian Babin
370,Harry Augensen
371,Chris Carberry
372,Dick Richardson
373,Arthur C. Clarke
374,Tom Zelibor
375,Rupert Pearce
376,Don Basile
377,Brandon J. Weichert
378,John Galer
379,U.S. Rep. Kevin McCarthy
380,G. Ryan Faith
381,Negar Feher
382,Jack Burns
383,Mario Maniewicz
384,Douglas Loverro
385,U.S. Rep. Doug Lamborn
386,Gen. David Goldfein
387,Michael Lopez-Alegria
388,Laura Grego
389,Adam Keith
390,Timothy G. Nelson
391,Scott Kordella
392,H.E. Ahmad Belhoul Al Falasi
393,Rebecca M. Cowen-Hirsch
394,Laura Overly
395,Karl Baker
396,Sinéad O’Sullivan
397,Jim Bell
398,Anthony M. Rutkowski
399,Thomas J. Donohue
400,Mike Carey
401,Alan Crisp
402,Joan Johnson-Freese
403,Charles E. Miller
404,Leland Melvin
405,Robert G. Oler
406,Mike Lorrey
407,John Shannon
408,Richard P. Binzel
409,Mark Whittington
410,Ian Fichtenbaum
411,Rick Lober
412,Frank A. Rose
413,John Cook
414,Carie Lemack
415,Pete Hoene
416,Mariel Borowitz
417,Keith J. Masback
418,Juan Fraire
419,Adam Routh
420,U.S. Rep. Lamar Smith
421,Mary Lynne Dittmar
422,Eric Stallmer
423,Brad King
424,Geoff Nunn
425,Elżbieta Bieńkowska
426,Paola Leoni
427,Michael Gleason
428,Bob Richards
429,Michael Mo
430,James Gill
431,Madhu Thangavelu
432,Thomas G. Roberts
433,Valery Komissarov
434,Thomas Powell
435,John Casani
436,Giuseppe Reibaldi
437,Robert S. Walker
438,Frank Slazer
439,Robbie Schingler
440,Tom Choi
441,Todd Thibodeaux
442,Buzz Aldrin
443,U.S. Rep. Jim Sensenbrenner
444,Michael Krepon
445,Don A. Nelson
446,Kevin M. O'Connell
447,Rep. Mike Rogers (R-AL) and Rep. Jim Cooper (D-TN)
448,Rick Barrowman
449,Micah Roschelle
450,Marc G. Carns
451,Stephen Kostes
452,Carl Rosene
453,Kaitlyn Johnson
454,Mike Griffin
455,David F. Melcher
456,James Michael Knauf
457,Pam Melroy
458,Jim Kohlenberger
459,Society of Satellite Professionals International
460,William S. Smith
461,Alan Stern
462,Sami Boustany
463,Thomas Karako
